ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
186;186;Miguel Pons Tous;Capilla de Dolores - Córdoba;;0;FALSO;1977;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
187;187;Miguel Pons Tous;Córdoba desde la calle Colón;;0;VERDADERO;1979;Óleo en chapadur;30 x 40;;FALSO;FALSO;;1
188;188;Miguel Pons Tous;Santa Catalina;;0;VERDADERO;1981;Óleo en chapadur;30 x 40;;FALSO;FALSO;;1
189;189;Miguel Pons Tous;Amapolas de Islandia 2;;0;VERDADERO;1991;Óleo en cartón entelado;27 x 35;;FALSO;VERDADERO;;1
190;190;Miguel Pons Tous;Brocolis;;0;VERDADERO;1998;Óleo en bastidor;30 x 40;;FALSO;FALSO;;1
191;191;Miguel Pons Tous;Ostras y langostinos;;0;VERDADERO;1994;Óleo en bastidor;30 x 40;;FALSO;FALSO;;1
192;192;Miguel Pons Tous;Rosas 6;;0;VERDADERO;1995;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
193;193;Miguel Pons Tous;Ranchito - Camino a San Antonio;;0;VERDADERO;1982;Óleo en cartón entelado;30 x 40;;FALSO;FALSO;;1
194;194;Miguel Pons Tous;Illetas - Palma de Mallorca;;0;VERDADERO;1950;Óleo en cartón entelado;14 x18;;FALSO;FALSO;;1
195;195;Miguel Pons Tous;Caverna de Estalagmitas;;0;VERDADERO;1987;Óleo en cartón entelado;13 x 18;;FALSO;FALSO;;1
196;196;Miguel Pons Tous;Jarrito de Rosas;;0;VERDADERO;1977;Óleo en cartón;13 x 18;;FALSO;FALSO;;1
197;197;Miguel Pons Tous;Perfil Jesús;;0;VERDADERO;1984;Óleo en cartón entelado;18 x 24;;FALSO;FALSO;;1
198;198;Miguel Pons Tous;Pan y Ajo;;0;VERDADERO;1982;Óleo en chapadur;14 x 21;;FALSO;FALSO;;1
199;199;Miguel Pons Tous;Árboles - Mallorca;;0;VERDADERO;1955;Óleo en cartón entelado;13 x 18;;FALSO;FALSO;;1
200;200;Miguel Pons Tous;Casas en chapa;;0;VERDADERO;2007;Óleo en fibrofácil;15 x 20;;FALSO;FALSO;;1
201;201;Miguel Pons Tous;Calle adornada;;0;VERDADERO;1980;Óleo en chapadur;17,5 x 23,5;;FALSO;FALSO;;1
202;202;Miguel Pons Tous;Naranja;;0;VERDADERO;1949;Óleo en tela;18 x 19;;FALSO;FALSO;;1
203;203;Miguel Pons Tous;Limón;;0;VERDADERO;1949;Óleo en tela;18 x 19;;FALSO;FALSO;;1
204;204;Miguel Pons Tous;Flores en tonos azules;;0;VERDADERO;1976;Óleo en cartón;16,5 x 22;;FALSO;FALSO;;1
205;205;Miguel Pons Tous;Caverna y formaciones rocosas;;0;VERDADERO;1981;Óleo en cartón entelado;18 x 24;;FALSO;FALSO;;1
206;206;Miguel Pons Tous;Génova - Palma de Mallorca;;0;VERDADERO;1950;Óleo en terciado;19 x 24;;FALSO;FALSO;;1
207;207;Miguel Pons Tous;Rosas 7;;0;VERDADERO;1978;Óleo en cartón entelado;18 x 24;;FALSO;FALSO;;1
208;208;Miguel Pons Tous;Puesto en chapa;;0;VERDADERO;2001;Óleo en bastidor;20 x 40;;FALSO;FALSO;;1
209;209;Miguel Pons Tous;Tachos;;0;VERDADERO;2001;Óleo en bastidor;24 x 30;;FALSO;FALSO;;1
210;210;Miguel Pons Tous;Manzana y Mortero;;0;VERDADERO;1983;Óleo en bastidor;18 x 24;;FALSO;FALSO;;1
